@relation 'User55-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Disgusted,Neutral,Surprised,Happy,Sad,Angry}
@attribute dominantEmo {Disgusted,Surprised,Sad,Neutral,Happy,Angry,Scared}
@attribute interaction {First,Nth}
@attribute itemID numeric
@attribute daytype {Weekend,Working,Holiday}
@attribute season {Autumn,Winter,Spring,Summer}
@attribute weather {Cloudy,Sunny,Rainy,Snowy}
@attribute time {Night,Morning,Afternoon,Evening}
@attribute decision {Decision,Given}
@attribute social {Partner,Alone,Friends,Family}
@attribute location {Home,Public,Friend}
@attribute mood {Neutral,Negative}
@attribute physical {Healthy,Ill}
@attribute age numeric
@attribute country {UK}
@attribute sex {Female}
@attribute city numeric
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Disgusted,Neutral,First,4006,Working,Summer,Sunny,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Happy,Nth,3918,Working,Summer,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Neutral,First,4011,Weekend,Summer,Cloudy,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,Nth,226,Weekend,Summer,Sunny,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Happy,Happy,Nth,4012,Weekend,Summer,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Surprised,Neutral,Nth,230,Weekend,Summer,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Angry,First,4014,Weekend,Summer,Sunny,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Sad,Happy,First,4033,Weekend,Spring,Sunny,Evening,Decision,Partner,Public,Neutral,Healthy,28,UK,Female,20,55,5
Happy,Happy,Nth,4034,Weekend,Spring,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,5
Angry,Surprised,First,3029,Weekend,Summer,Sunny,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Surprised,Neutral,First,4035,Weekend,Summer,Sunny,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4091,Weekend,Autumn,Rainy,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Neutral,First,4092,Weekend,Autumn,Rainy,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Disgusted,Neutral,First,4093,Weekend,Autumn,Cloudy,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,2
Happy,Neutral,First,3979,Weekend,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Neutral,First,4094,Weekend,Autumn,Cloudy,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Happy,Neutral,First,3966,Weekend,Autumn,Cloudy,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,3312,Weekend,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Disgusted,First,4103,Weekend,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4032,Weekend,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Happy,Nth,4057,Weekend,Autumn,Rainy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4104,Weekend,Autumn,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,4086,Weekend,Autumn,Cloudy,Night,Decision,Partner,Friend,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4107,Weekend,Autumn,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4054,Weekend,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,99,Weekend,Autumn,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,4108,Weekend,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Surprised,First,4160,Holiday,Winter,Rainy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Surprised,First,4130,Weekend,Autumn,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Angry,Neutral,First,4131,Weekend,Autumn,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Surprised,First,4132,Weekend,Autumn,Rainy,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4175,Weekend,Winter,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Happy,Neutral,First,3926,Weekend,Winter,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Angry,Neutral,First,4178,Weekend,Winter,Sunny,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4151,Weekend,Winter,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Happy,Neutral,First,4147,Working,Winter,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4189,Working,Winter,Sunny,Morning,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Surprised,Neutral,First,3882,Weekend,Winter,Sunny,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Disgusted,First,4201,Weekend,Winter,Sunny,Afternoon,Decision,Partner,Public,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Surprised,First,175,Weekend,Winter,Sunny,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Happy,First,4098,Weekend,Winter,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,3980,Weekend,Winter,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4225,Weekend,Winter,Cloudy,Afternoon,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,2
Surprised,Neutral,Nth,4226,Weekend,Winter,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4227,Weekend,Winter,Sunny,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4197,Weekend,Winter,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Happy,Neutral,First,4228,Weekend,Winter,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Surprised,Surprised,First,3998,Weekend,Winter,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4245,Weekend,Winter,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Happy,Neutral,First,4246,Weekend,Winter,Snowy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Neutral,First,4145,Weekend,Winter,Cloudy,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Surprised,First,4202,Weekend,Winter,Snowy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Neutral,First,4247,Weekend,Winter,Cloudy,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,3515,Weekend,Winter,Sunny,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,3516,Weekend,Winter,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Disgusted,First,4253,Weekend,Winter,Sunny,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Surprised,Surprised,First,4254,Weekend,Winter,Sunny,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Surprised,First,4258,Weekend,Winter,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4185,Weekend,Winter,Cloudy,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4253,Weekend,Winter,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Scared,First,4269,Weekend,Winter,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Happy,First,4270,Weekend,Winter,Cloudy,Afternoon,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Happy,Surprised,First,4272,Weekend,Winter,Sunny,Morning,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Neutral,First,4066,Weekend,Spring,Sunny,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4184,Weekend,Spring,Cloudy,Evening,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Surprised,First,4305,Weekend,Spring,Sunny,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Happy,First,4300,Weekend,Spring,Sunny,Evening,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Neutral,First,4081,Weekend,Spring,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Neutral,First,4219,Weekend,Spring,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4321,Weekend,Spring,Cloudy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Surprised,First,4322,Weekend,Spring,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4323,Weekend,Spring,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,4244,Weekend,Spring,Cloudy,Morning,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Happy,Happy,First,4356,Weekend,Summer,Sunny,Evening,Decision,Partner,Public,Neutral,Healthy,28,UK,Female,20,55,5
Neutral,Surprised,First,4354,Weekend,Summer,Sunny,Evening,Given,Friends,Public,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,4356,Weekend,Summer,Sunny,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,4288,Weekend,Summer,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,First,4358,Weekend,Summer,Sunny,Night,Given,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,2
Neutral,Neutral,First,4359,Weekend,Summer,Sunny,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Surprised,First,4367,Weekend,Summer,Rainy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Surprised,Neutral,First,4347,Weekend,Summer,Rainy,Night,Decision,Alone,Home,Neutral,Healthy,28,UK,Female,20,55,3
Neutral,Neutral,Nth,3592,Holiday,Winter,Cloudy,Night,Given,Family,Friend,Negative,Ill,28,UK,Female,20,55,4
Neutral,Surprised,First,4378,Weekend,Summer,Sunny,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,4
Neutral,Neutral,First,4045,Weekend,Summer,Sunny,Night,Decision,Partner,Home,Neutral,Healthy,28,UK,Female,20,55,3
Angry,Neutral,First,4374,Weekend,Summer,Sunny,Evening,Decision,Partner,Public,Neutral,Healthy,28,UK,Female,20,55,4
